"PedigreeNodeId","Temp","V:0","V:1","V:2","Pres","AsH3","GaMe3","CH4","H2","Points:0","Points:1","Points:2"
1563,503.79,5.3589,1.8572,-14.675,0.027148,0.13731,0.004647,0.00067685,0.85737,3.5131,-2.9478,1.1211
1564,503.8,4.9542,2.7649,-14.676,0.027148,0.13731,0.0046472,0.00067684,0.85737,3.9716,-2.293,1.1211
1565,503.82,4.395,3.586,-14.676,0.027147,0.13731,0.0046471,0.00067685,0.85737,4.3094,-1.5685,1.1211
1566,503.83,3.7032,4.2942,-14.675,0.027146,0.13731,0.004647,0.00067688,0.85737,4.5163,-0.79635,1.1211
1567,503.84,2.901,4.8704,-14.675,0.027146,0.13731,0.0046469,0.00067689,0.85737,4.586,-1.8874e-15,1.1211
1568,503.84,2.0121,5.2984,-14.675,0.027147,0.13731,0.004647,0.00067688,0.85737,4.5163,0.79635,1.1211
1569,503.82,1.0646,5.5665,-14.676,0.027147,0.13731,0.0046471,0.00067686,0.85737,4.3094,1.5685,1.1211
1570,503.8,0.085494,5.6694,-14.676,0.027148,0.13731,0.0046473,0.00067684,0.85737,3.9716,2.293,1.1211
1571,503.79,-0.90054,5.6028,-14.676,0.027148,0.13731,0.0046473,0.00067683,0.85737,3.5131,2.9478,1.1211
1572,503.79,-1.8643,5.3627,-14.675,0.027148,0.13731,0.0046472,0.00067685,0.85737,2.9478,3.5131,1.1211
1573,503.81,-2.771,4.9553,-14.674,0.027147,0.13731,0.0046469,0.0006769,0.85737,2.293,3.9716,1.1211
1574,503.83,-3.5901,4.3955,-14.674,0.027146,0.1373,0.0046466,0.00067695,0.85737,1.5685,4.3094,1.1211
1575,387.86,2.6005,-0.46771,-12.866,0.024944,0.1601,0.0056394,0.0007901,0.83347,0.9311,-5.2805,0.54912
256,293.15,0,0,0,0.025044,0.18483,0.0066894,0.00085719,0.80762,0.99848,-5.6626,0.54912
1576,387.86,2.641,-0.0097959,-12.867,0.024944,0.1601,0.0056394,0.00079008,0.83347,1.8339,-5.0386,0.54912
269,293.15,0,0,0,0.025045,0.18483,0.0066894,0.00085716,0.80762,1.9666,-5.4032,0.54912
